name,type,value,date
Counter-Strike: Global Offensive,Game,1078859,2020/03/24
Dota 2,Game,645431,2020/03/24
PLAYERUNKNOWN'S BATTLEGROUNDS,Game,534857,2020/03/24
Grand Theft Auto V,Game,178569,2020/03/24
Football Manager 2020,Game,166768,2020/03/24
Tom Clancy's Rainbow Six Siege,Game,167590,2020/03/24
MONSTER HUNTER: WORLD,Game,154125,2020/03/24
ARK: Survival Evolved,Game,102416,2020/03/24
Destiny 2,Game,83533,2020/03/24
Rust,Game,90113,2020/03/24
Team Fortress 2,Game,83144,2020/03/24
Path of Exile,Game,84039,2020/03/24
Source SDK Base 2007,Game,80810,2020/03/24
Tomb Raider,Game,78287,2020/03/24
Warframe,Game,65070,2020/03/24
Rocket League,Game,89352,2020/03/24
Borderlands 3,Game,56789,2020/03/24
Garry's Mod,Game,53495,2020/03/24
Sid Meier's Civilization VI,Game,50992,2020/03/24
Unturned,Game,41827,2020/03/24
Counter-Strike: Global Offensive,Game,1079644,2020/03/25
Dota 2,Game,647103,2020/03/25
PLAYERUNKNOWN'S BATTLEGROUNDS,Game,546511,2020/03/25
Tom Clancy's Rainbow Six Siege,Game,181129,2020/03/25
Grand Theft Auto V,Game,180789,2020/03/25
Football Manager 2020,Game,169331,2020/03/25
MONSTER HUNTER: WORLD,Game,144309,2020/03/25
ARK: Survival Evolved,Game,99508,2020/03/25
Destiny 2,Game,109794,2020/03/25
Warframe,Game,88167,2020/03/25
Rust,Game,90719,2020/03/25
Path of Exile,Game,86691,2020/03/25
Source SDK Base 2007,Game,82256,2020/03/25
Team Fortress 2,Game,82770,2020/03/25
Rocket League,Game,88918,2020/03/25
Garry's Mod,Game,56627,2020/03/25
Borderlands 3,Game,52770,2020/03/25
Tomb Raider,Game,64028,2020/03/25
Dead by Daylight,Game,47854,2020/03/25
Sid Meier's Civilization VI,Game,50499,2020/03/25
Counter-Strike: Global Offensive,Game,1085157,2020/03/26
Dota 2,Game,652833,2020/03/26
PLAYERUNKNOWN'S BATTLEGROUNDS,Game,551705,2020/03/26
Grand Theft Auto V,Game,186336,2020/03/26
Tom Clancy's Rainbow Six Siege,Game,191118,2020/03/26
Football Manager 2020,Game,170248,2020/03/26
MONSTER HUNTER: WORLD,Game,138000,2020/03/26
ARK: Survival Evolved,Game,100637,2020/03/26
Destiny 2,Game,96062,2020/03/26
